x,pdf'(x),error,accurate_bits
-1.875,0.10890141444268167365454309707751154,8.15387222E-22,67
-1.8125,0.11292023846092517884206262256291689,7.22094419E-22,67
-1.75,0.11591534524273115015345806561330751,1.15825031E-21,66
-1.6875,0.11784679631038906440162279800425822,9.07361744E-22,66
-1.625,0.11870191926302770802355837845887202,1.34840757E-21,66
-1.5625,0.11849344464642079787428891887740413,9.01140647E-22,66
-1.5,0.11725686457199733012750788871437079,1.00305133E-21,66
-1.4375,0.11504725150421435543300242307275991,7.45218940E-22,67
-1.375,0.11193576362159315444570413569175268,1.07098361E-21,66
-1.3125,0.10800603921801191264319492220805222,9.88995868E-22,66
-1.25,0.10335065118786092315749306453084697,1.21946121E-21,66
-1.1875,0.098067757647499465133547845319446561,7.05377913E-22,67
-1.125,0.092258049376960200681001820496838701,1.26623405E-21,66
-1.0625,0.086022061414663386957561390352449822,1.19294303E-21,66
-1,0.07945788642731861517577744441854512,9.90980017E-22,66
-0.96875,0.076082245722656564508344213837936581,9.94436927E-22,66
-0.9375,0.072659302346588561040512067856303911,9.83652972E-22,66
-0.90625,0.069199863966203635435180558400015447,9.84008501E-22,66
-0.875,0.065714306590148075414254664626409753,1.02650787E-21,66
-0.84375,0.062212549259345385220507228364505691,9.98664385E-22,65
-0.8125,0.058704033913885222851221109471946211,9.29307315E-22,65
-0.78125,0.055197710106167189249669685239698489,8.75579066E-22,65
-0.75,0.051702024217902317272041149545912948,8.99224789E-22,65
-0.71875,0.048224912831659677509964945777103388,9.11504238E-22,65
-0.6875,0.044773799905640349622950212920628244,9.22896373E-22,65
-0.65625,0.041355597402629258846000803578314971,1.08945974E-21,65
-0.625,0.037976709030008569323829523647547219,9.51766684E-22,65
-0.59375,0.034643036756740324555054991313525625,5.78701681E-22,66
-0.5625,0.031359989784805340927446690153800106,1.01111685E-21,64
-0.53125,0.028132495666225983026915431743488168,1.12036697E-21,64
-0.5,0.024965013272051424120446779134517861,8.78858735E-22,64
-0.46875,0.021861547336137934112669928067308197,6.78706899E-22,65
-0.4375,0.018825664313849450727450563477002178,1.03684281E-21,64
-0.40625,0.01586050931361310334300797709338428,6.41499940E-22,64
-0.375,0.012968823877308867825956929451215092,5.22490319E-22,64
-0.34375,0.010152964403508924448576876024842629,6.60174728E-22,64
-0.3125,0.0074149210254033678857904319605309711,4.72418015E-22,63
-0.28125,0.0047563367726808905573864455823012715,5.48525663E-22,63
-0.25,0.0021785268635328369366527341864108436,8.49410960E-22,62
-0.21875,-3.1750201079855469541218155291096591e-4,9.21640862E-22,58
-0.1875,-0.0027310325309918336494192173176710576,8.00125110E-22,62
-0.15625,-0.0050616178314918382212807763819183004,5.49882354E-22,63
-0.125,-0.0073090629127251987539151159302673373,6.17635625E-22,63
-0.09375,-0.0094734064642070491690274842336662291,6.41996082E-22,64
-0.0625,-0.011554903166983093026482142183094592,6.71184667E-22,64
-0.03125,-0.013554006532674299009076464646911824,6.57838004E-22,64
0,-0.01547135232610619699946422528828066,1.48578798E-22,66
