# scale_pdf := (lambda >= 0) ? ( pdf * (lambda^2 + pi^2) ) : ( pdf * sqrt(2 pi) * exp(sigma) / sqrt(sigma) )
# sigma := exp(-lambda-1)
lambda,scaled_pdf,error
-17.3125,1.0000000034305203909480551926222837602013264024909282182263879096863622907778493749140449014391475820302436816824928206572682845837736105518369984271034095989056578446625,2.35896298e-167
-17.25,1.0000000036517699380774814862051123615093019262645560788273778501947472065386163878302617356327666042862828864658386724896228776274297095432818007278925837766667793312818,2.35708108e-167
-17.1875,1.0000000038872888537976992474974397656890088195960521263890466686527552571179754579943075570016462071094859491217131924485794755544317312159507020695931081074815007809064,2.34151636e-167
-17.125,1.0000000041379974331503475166784961776054910611161000937076277147408247874068827394711233396051441136586761263420480943841477649502013770493368507237165292697851948714374,2.34411347e-167
-17.0625,1.0000000044048753250858879530223969934509070351149668936346151249612844490423807928637929025506609637987598040245099153465081523617605512745611004408143430127445789726255,2.33583600e-167
-17,1.0000000046889653604589187086779288727187079092940410678336148047377173997274554128215173410694765365620897369063820785307771106810131929105719032254716506784573637105206,2.32655930e-167
-16.9375,1.000000004991377626907585977561702137863521780412769565715448333139929065050179710622386505751653029358733193585786008649105786333056182423938295564295084202512675881822,2.33008051e-167
-16.875,1.0000000053132938065396977418540913545630289312129283664948479158866035195253858402439110268654833449902321340781648103805268380681459956619428473836152585874170802581595,2.31865834e-167
-16.8125,1.0000000056559717933750571084133690501922285238107108637472696036654261189540028156079692980671017164967084680274821766574542399172728446451568013665384009643599322887083,2.29418418e-167
-16.75,1.0000000060207506085866747692995707512046713472214461581665209735697273892931942658326755374885018139395964940789500659678607449122986137600592478766145683178501473089035,2.30146081e-167
-16.6875,1.0000000064090556327471628333821732501658727622093383137915328538404920656421270105921583440901693002890161831161081379978406791796252607995639846017654509067888183916935,2.29626687e-167
-16.625,1.0000000068224041755253023173876416792624755733099429956830102706578861717007272830439480465972692770698598720316471487530067888019667328501982014361491126337805069798183,2.28348394e-167
-16.5625,1.0000000072624114045963539346561638389465520956848358566256464986451015892865950450925623974302331697462837826806588138830871230264378040946034292322394421005975485601609,2.28534108e-167
-16.5,1.0000000077307966569332985892467596589184029799777432435675052621740014111640107441877274729997213728974748756141932069518791050633872872346931065007172516142281112851328,2.27438934e-167
-16.4375,1.0000000082293901571403345417128447584175225705325957668004818180339916536380582824085998643796761898063411335148795065555461173939067374403162473207141940661688757603293,2.28335287e-167
-16.375,1.0000000087601401690804606153614410953864759591895349329907899029667934139862233292131257540496030188998999616000300233551228839546219334304133089061122151866900105554903,2.27650060e-167
-16.3125,1.0000000093251206087420536043699497029352192966847816754117082947770500751129217237937481648997348469945239538499567879621190935162017051039700360165879995139843991661174,2.27194200e-167
