lambda,pdf,cdf,1-cdf,pdf_derivative
384,6.9619228455363726475e-6,9.9735794700261019757e-1,2.6420529973898024261e-3,-3.6640923307431522920e-8
400,6.4106908911986318658e-6,9.9746483706448565634e-1,2.5351629355143436602e-3,-3.2380016128165153300e-8
416,5.9223784756691165534e-6,9.9756342431782651987e-1,2.4365756821734801252e-3,-2.8754614768433515969e-8
432,5.4877668265797818121e-6,9.9765463929256607585e-1,2.3453607074339241445e-3,-2.5650570278561063795e-8
448,5.0992650491587040738e-6,9.9773927854700012919e-1,2.2607214529998708068e-3,-2.2977471787916317846e-8
464,4.7505770889515240163e-6,9.9781802793104380494e-1,2.1819720689561950604e-3,-2.0663082743072182553e-8
480,4.4364455354178465891e-6,9.9789148116630546192e-1,2.1085188336945380736e-3,-1.8649218612889985433e-8
496,4.1524526570063048190e-6,9.9796015480689941992e-1,2.0398451931005800716e-3,-1.6888659246674647680e-8
512,3.8948645125312754557e-6,9.9802450037743288081e-1,1.9754996225671191844e-3,-1.5342812721763998892e-8
544,3.4466718376662543177e-6,9.9814174600315303798e-1,1.8582539968469620167e-3,-1.2773735380193404536e-8
576,3.0715759141186876526e-6,9.9824586524859441854e-1,1.7541347514055814567e-3,-1.0747455286999143498e-8
608,2.7545098066172454772e-6,9.9833894455481767172e-1,1.6610554451823282814e-3,-9.1279053719730363177e-9
640,2.4840966534028348561e-6,9.9842265057638091599e-1,1.5773494236190840013e-3,-7.8179721685265607454e-9
672,2.2516162206563480033e-6,9.9849833067326352028e-1,1.5016693267364797146e-3,-6.7470843445233003524e-9
704,2.0502939563272853691e-6,9.9856708585964895739e-1,1.4329141403510426083e-3,-5.8631220179723024035e-9
736,1.8748024669982511409e-6,9.9862982463069242973e-1,1.3701753693075702612e-3,-5.1270258682275326425e-9
768,1.7209058694811278746e-6,9.9868730326941974370e-1,1.3126967305802563004e-3,-4.5091334808599197252e-9
800,1.5852020724810180386e-6,9.9874015643578021127e-1,1.2598435642197887239e-3,-3.9866445342455925164e-9
832,1.4649333441036430697e-6,9.9878892066528650815e-1,1.2110793347134918455e-3,-3.5418381710749197569e-9
864,1.3578452460448683145e-6,9.9883405262309756723e-1,1.1659473769024327698e-3,-3.1608005071840153729e-9
896,1.2620803208127250201e-6,9.9887594342997562557e-1,1.1240565700243744261e-3,-2.8325037621456461068e-9
928,1.1760970817727844564e-6,9.9891493001202355246e-1,1.0850699879764475372e-3,-2.5481313837947307114e-9
960,1.0986076512094558999e-6,9.9895130417132921945e-1,1.0486958286707805511e-3,-2.3005776477253452737e-9
992,1.0285292976186991232e-6,9.9898531989408962263e-1,1.0146801059103773688e-3,-2.0840725877129315301e-9
1024,9.6494644170719151475e-7,9.9901719928318719160e-1,9.8280071681280839681e-4,-1.8938980231353184532e-9
1088,8.5426658606210844698e-7,9.9907530629552273380e-1,9.2469370447726619747e-4,-1.5776741208659732605e-9
1152,7.6158734861000665859e-7,9.9912692852536063616e-1,8.7307147463936383617e-4,-1.3280955043353744214e-9
1216,6.8320752236212896693e-7,9.9917309389706461772e-1,8.2690610293538227296e-4,-1.1284929406113493223e-9
1280,6.1633037328594615050e-7,9.9921462402172108737e-1,7.8537597827891263104e-4,-9.6695970418545351573e-10
1344,5.5881083724825293699e-7,9.9925218347855968753e-1,7.4781652144031246609e-4,-8.3483691600221232984e-10
1408,5.0898146404872809394e-7,9.9928631561580008288e-1,7.1368438419991711256e-4,-7.2572529456132145218e-10
1472,4.6553027514246121492e-7,9.9931746898509952223e-1,6.8253101490047776243e-4,-6.3482613509856995371e-10
1536,4.2741356602558466496e-7,9.9934601714882952318e-1,6.5398285117047681213e-4,-5.5849309745022927422e-10
1600,3.9379267821136145421e-7,9.9937227372064761151e-1,6.2772627935238848877e-4,-4.9392187800274244226e-10
1664,3.6398749640552780187e-7,9.9939650392597482047e-1,6.0349607402517953069e-4,-4.3893182594322184655e-10
1728,3.3744179961366282731e-7,9.9941893358686094736e-1,5.8106641313905263318e-4,-3.9180995949048144054e-10
1792,3.1369713472796820512e-7,9.9943975617669441671e-1,5.6024382330558328590e-4,-3.5119801997987053352e-10
1856,2.9237289855874528524e-7,9.9945913841175216800e-1,5.4086158824783199643e-4,-3.1600965316957206415e-10
1920,2.7315099782714530133e-7,9.9947722472177684918e-1,5.2277527822315081382e-4,-2.8536897074143195829e-10
1984,2.5576392299185937292e-7,9.9949414085327104607e-1,5.0585914672895392509e-4,-2.5856447798845140808e-10
2048,2.3998539451106350460e-7,9.9950999679564168272e-1,4.9000320435831727723e-4,-2.3501417600187568947e-10
2176,2.1251213291207360467e-7,9.9953890321960065163e-1,4.6109678039934837258e-4,-1.9584163734212277768e-10
2304,1.8949945621844036972e-7,9.9956458977836612678e-1,4.3541022163387322062e-4,-1.6491212089057472615e-10
2432,1.7003159063741760820e-7,9.9958756601275020213e-1,4.1243398724979786237e-4,-1.4016676756657144685e-10
2560,1.5341624448834616760e-7,9.9960823934713533244e-1,3.9176065286466755790e-4,-1.2013419842019600838e-10
2688,1.3912222282665024816e-7,9.9962693944862992113e-1,3.7306055137007886307e-4,-1.0374389229732274881e-10
2816,1.2673645232074981136e-7,9.9964393593123415399e-1,3.5606406876584601265e-4,-9.0204352678553724131e-11
2944,1.1593380936586086875e-7,9.9965945143374227636e-1,3.4054856625772363521e-4,-7.8921819406730864540e-11
3072,1.0645557082809035338e-7,9.9967367142283425696e-1,3.2632857716574303731e-4,-6.9444956186839511994e-11
3200,9.8093782078945474623e-8,9.9968675163970488847e-1,3.1324836029511152622e-4,-6.1426536785032335880e-11
3328,9.0679755708403138004e-8,9.9969882382560358781e-1,3.0117617439641218544e-4,-5.4596471697973714257e-11
3456,8.4075499017061721576e-8,9.9971000017313633119e-1,2.8999982686366880998e-4,-4.8742534640630401530e-11
3584,7.8167247962350748374e-8,9.9972037682233571196e-1,2.7962317766428803359e-4,-4.3696401829937808984e-11
3712,7.2860536144966426379e-8,9.9973003663238692209e-1,2.6996336761307790468e-4,-3.9323411724834236483e-11
3840,6.8076396065695005029e-8,9.9973905139824791549e-1,2.6094860175208450469e-4,-3.5514965975038519932e-11
3968,6.3748404985316487256e-8,9.9974748363767264864e-1,2.5251636232735135331e-4,-3.2182829267181510413e-11
4096,5.9820367402545700341e-8,9.9975538804273052358e-1,2.4461195726947641764e-4,-2.9254810506087100345e-11
8192,1.4930623730921403226e-8,9.9987780160058865109e-1,1.2219839941134891231e-4,-3.6483276128962971585e-12
16384,3.7292864082871180172e-9,9.9993893025141979130e-1,6.1069748580208701297e-5,-4.5545143581027006774e-13
32768,9.3186134290455009977e-10,9.9996947312999976526e-1,3.0526870000234731343e-5,-5.6891014795592229474e-14
65536,2.3290290382993096732e-10,9.9998473872684314210e-1,1.5261273156857899227e-5,-7.1086269295303848428e-15
131072,5.8217308264606891035e-11,9.9999236994413684373e-1,7.6300558631562685856e-6,-8.8839246051041072409e-16
262144,1.4553198043127624613e-11,9.9999618512732030472e-1,3.8148726796952767944e-6,-1.1103655983938481845e-16
524288,3.6381487740431616552e-12,9.9999809260499280695e-1,1.9073950071930505131e-6,-1.3878733905449529667e-17
1048576,9.0951714975794989354e-13,9.9999904631345969737e-1,9.5368654030263095324e-7,-1.7347860461252436042e-18
2097152,2.2737663172229661958e-13,9.9999952315962823520e-1,4.7684037176479820788e-7,-2.1684456010154093301e-19
4194304,5.6843807181980884140e-14,9.9999976158057810938e-1,2.3841942189061921489e-7,-2.7105325599116797003e-20
8388608,1.4210905603717844463e-14,9.9999988079048990204e-1,1.1920951009795096744e-7,-3.3881495842851158785e-21
16777216,3.5527203334169665121e-15,9.9999994039529762530e-1,5.9604702374693877753e-8,-4.2351763832221046854e-22
2^25,8.8817928822158857950e-16,9.9999997019766259685e-1,2.9802337403153623917e-8,-5.2939635277557655216e-23
2^26,2.2204471807704310349e-16,9.9999998509883489838e-1,1.4901165101621021832e-8,-6.6174498601062487654e-24
2^27,5.5511165948614859426e-17,9.9999999254941838766e-1,7.4505816123444577616e-9,-8.2718093534863446608e-25
2^28,1.3877789719153664366e-17,9.9999999627470943806e-1,3.7252905619364060468e-9,-1.0339759754482331662e-25
2^29,3.4694471998297216108e-18,9.9999999813735478250e-1,1.8626452175044153794e-9,-1.2924698432182641564e-26
2^30,8.6736177009275590706e-19,9.9999999906867740772e-1,9.3132259228505217295e-10,-1.6155872220865244108e-27
2^31,2.1684043865012484060e-19,9.9999999953433870812e-1,4.6566129187543497120e-10,-2.0194839744424693978e-28
2^32,5.4210109160900707388e-20,9.9999999976716935517e-1,2.3283064483336913627e-10,-2.5243549336023478527e-29
2^33,1.3552527225334177762e-20,9.9999999988358467787e-1,1.1641532213120358662e-10,-3.1554436447073571002e-30
2^34,3.3881317979487712396e-21,9.9999999994179233901e-1,5.8207660991883074177e-11,-3.9443045414720440315e-31
2^35,8.4703294840492136803e-22,9.9999999997089616952e-1,2.9103830476924738838e-11,-4.9303806675340746279e-32
2^36,2.1175823696167456264e-22,9.9999999998544808477e-1,1.4551915233561390236e-11,-6.1629758284148647709e-33
2^37,5.2939559222440187086e-23,9.9999999999272404238e-1,7.2759576155187554167e-12,-7.7037197816503189162e-34
2^38,1.3234889803295992430e-23,9.9999999999636202119e-1,3.6379788074347190565e-12,-9.6296497245723869108e-35
2^39,3.3087224505263978592e-24,9.9999999999818101060e-1,1.8189894036339014337e-12,-1.2037062154113383832e-35
2^40,8.2718061259335650181e-25,9.9999999999909050530e-1,9.0949470179551283529e-13,-1.5046327691611961179e-36
2^41,2.0679515314342838858e-25,9.9999999999954525265e-1,4.5474735089225360778e-13,-1.8807909613853560946e-37
2^42,5.1698788285226959225e-26,9.9999999999977262632e-1,2.2737367544471526655e-13,-2.3509887016892466387e-38
2^43,1.2924697071225935589e-26,9.9999999999988631316e-1,1.1368683772199579023e-13,-2.9387358770843332664e-39
2^44,3.2311742677961287485e-27,9.9999999999994315658e-1,5.6843418860905194671e-14,-3.6734198463379667304e-40
2^45,8.0779356694770596572e-28,9.9999999999997157829e-1,2.8421709430428862305e-14,-4.5917748079112808753e-41
2^46,2.0194839173675673528e-28,9.9999999999998578915e-1,1.4210854715208357415e-14,-5.7397185098819455206e-42
2^47,5.0487097934167466994e-29,9.9999999999999289457e-1,7.1054273576026252781e-15,-7.1746481373478536597e-43
2^48,1.2621774483539089982e-29,9.9999999999999644729e-1,3.5527136788009155329e-15,-8.9683101716818894191e-44
2^49,3.1554436208844176291e-30,9.9999999999999822364e-1,1.7763568394003563028e-15,-1.1210387714600490580e-44
2^50,7.8886090522105907768e-31,9.9999999999999911182e-1,8.8817841970015223866e-16,-1.4012984643249417848e-45
