lambda,pdf,cdf,1-cdf,pdf_derivative
0.125,1.7647771926844883683e-1,3.0905006637141370265e-1,6.9094993362858629735e-1,-2.2341378755545461692e-2
0.15625,1.7575555105795277656e-1,3.1455383519240190312e-1,6.8544616480759809688e-1,-2.3864772036667857623e-2
0.1875,1.7498695190701715779e-1,3.2003430467277268813e-1,6.7996569532722731187e-1,-2.5313202616791689364e-2
0.21875,1.7417424113251497581e-1,3.2549006020723540064e-1,6.7450993979276459936e-1,-2.6688172787231706485e-2
0.25,1.7331968992724905972e-1,3.3091975892319781116e-1,6.6908024107680218884e-1,-2.7991258391115976365e-2
0.28125,1.7242551922726526946e-1,3.3632212814271123511e-1,6.6367787185728876489e-1,-2.9224098323575143154e-2
0.3125,1.7149389789687205794e-1,3.4169596378278738576e-1,6.5830403621721261424e-1,-3.0388384695882793262e-2
0.34375,1.7052694121086196276e-1,3.4704012870369359995e-1,6.5295987129630640005e-1,-3.1485853647523225573e-2
0.375,1.6952670961396708936e-1,3.5235355101420051309e-1,6.4764644898579948691e-1,-3.2518276787945043218e-2
0.40625,1.6849520773818004435e-1,3.5763522234214147941e-1,6.4236477765785852059e-1,-3.3487453247944789865e-2
0.4375,1.6743438365922205994e-1,3.6288419607804780947e-1,6.3711580392195219053e-1,-3.4395202319176222341e-2
0.46875,1.6634612837413036382e-1,3.6809958559904964664e-1,6.3190041440095035336e-1,-3.5243356659161508210e-2
0.5,1.6523227548265744407e-1,3.7328056247968012295e-1,6.2671943752031987705e-1,-3.6033756038356427227e-2
0.53125,1.6409460105591702060e-1,3.7842635469569113072e-1,6.2157364530430886928e-1,-3.6768241605260373978e-2
0.5625,1.6293482367646752284e-1,3.8353624482648317012e-1,6.1646375517351682988e-1,-3.7448650645233539910e-2
0.59375,1.6175460463478685295e-1,3.8860956826126960637e-1,6.1139043173873039363e-1,-3.8076811808560132166e-2
0.625,1.6055554826785619167e-1,3.9364571141363741810e-1,6.0635428858636258190e-1,-3.8654540783351976883e-2
0.65625,1.5933920242633036384e-1,3.9864410994873208630e-1,6.0135589005126791370e-1,-3.9183636389097500279e-2
0.6875,1.5810705905752332106e-1,4.0360424702688345906e-1,5.9639575297311654094e-1,-3.9665877067004996975e-2
0.71875,1.5686055489217577226e-1,4.0852565156710189527e-1,5.9147434843289810473e-1,-4.0103017743746292436e-2
