lambda,cdf,ccdf
-7.25,1.8760531900568198195519864327290491597343003708935859517218142829e-227,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.125,5.4327853977198809074823713333085138635669628946712955729012525861e-201,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7,1.2320713467109256079731693722536270155308270190787249922844903474e-177,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.875,5.0706927218907512448894886127657799739746442721350850372907234779e-157,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.75,7.9508273092269030540755379986379238395223836768058289085148614917e-139,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.625,9.1394264062182942133398194572395437909072428859139251111654053935e-123,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.5,1.3722551000771884406167939908394921086994490127794381477741236601e-108,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.375,4.4805576250755054772400551889381371039032752812797444890693288641e-96,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.25,4.9885041497712773327876718720915259245631695528868920089484608611e-85,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6.125,2.8167846707832912425627046227920274599700053964610860983622398990e-75,1.0000000000000000000000000000000000000000000000000000000000000000e0
-6,1.1450581306161646013377862829244489986398695592858231881488739848e-66,1.0000000000000000000000000000000000000000000000000000000000000000e0
-5.875,4.5651963366879849653880465526403114911229747960616320959035789505e-59,9.9999999999999999999999999999999999999999999999999999999995434804e-1
-5.75,2.3449818439039332332398528625736430868293333249484684422420982779e-52,9.9999999999999999999999999999999999999999999999999976550181560961e-1
-5.625,1.9743952257276471366174737312197445715547844274932600872079846298e-46,9.9999999999999999999999999999999999999999999980256047742723528634e-1
-5.5,3.3699400957557151018857658874783669660068938477660353270221190928e-41,9.9999999999999999999999999999999999999996630059904244284898114234e-1
-5.375,1.4064970028044658222792619550536365542255000914517976571707883335e-36,9.9999999999999999999999999999999999859350299719553417772073804495e-1
-5.25,1.6937499753853328842081581686466140793030872359382384341194990883e-32,9.9999999999999999999999999999998306250024614667115791841831353386e-1
-5.125,6.8104155184817621831095586150913016039419195415817236048979646895e-29,9.9999999999999999999999999993189584481518237816890441384908698396e-1
-5,1.0401083461973864141623804602961696170384981126710913247775442529e-25,9.9999999999999999999999989598916538026135858376195397038303829615e-1
-4.875,6.7601075169019863380693353754936653721829401876403730456626749557e-23,9.9999999999999999999993239892483098013661930664624506334627817060e-1
-4.75,2.0672040957441121338697471347507678637372198259292876099376253949e-20,9.9999999999999999997932795904255887866130252865249232136262780174e-1
-4.625,3.2495989106321562850936073728191535087167996354342066105765434374e-18,9.9999999999999999675040108936784371490639262718084649128320036457e-1
-4.5,2.8394470726841722783518492658446816729601172514905249268983908438e-16,9.9999999999999971605529273158277216481507341553183270398827485095e-1
-4.375,1.4775646921835462393577094693569412068533565767070068901691328372e-14,9.9999999999998522435307816453760642290530643058793146643423292993e-1
-4.25,4.8662884482527691657165888673340137385057508257510540925362768236e-13,9.9999999999951337115517472308342834111326659862614942491742489459e-1
-4.125,1.0703113530730541423685825870668629629039918144973654500843685501e-11,9.9999999998929688646926945857631417412933137037096008185502634550e-1
-4,1.6484018900019493677883741476764976495564292924843278520810225626e-10,9.9999999983515981099980506322116258523235023504435707075156721479e-1
-3.9375,5.7354323686554623143454654470610277448901526240399506557554311396e-10,9.9999999942645676313445376856545345529389722551098473759600493442e-1
-3.875,1.8536001351650185676842310898635806453767477053069282752849728913e-9,9.9999999814639986483498143231576891013641935462325229469307172472e-1
-3.8125,5.5892188283009512165342559558127271673031322983526047168114845228e-9,9.9999999441078117169904878346574404418727283269686770164739528319e-1
-3.75,1.5790361960475750993107735440125135997568584677341021632563272022e-8,9.9999998420963803952424900689226455987486400243141532265897836744e-1
-3.6875,4.1961328335156820758101545932748384019975059823242281141978720305e-8,9.9999995803867166484317924189845406725161598002494017675771885802e-1
-3.625,1.0527591140688720670070349486956044183023502253778055918886882180e-7,9.9999989472408859311279329929650513043955816976497746221944081113e-1
-3.5625,2.5023058767476174985835796341321372604339857878923231542248883438e-7,9.9999974976941232523825014164203658678627395660142121076768457751e-1
-3.5,5.6532832980752883462252347031086793984127231495321574150892699125e-7,9.9999943467167019247116537747652968913206015872768504678425849107e-1
-3.4375,1.2177030145414362710135410729598522584550766416809907298205118402e-6,9.9999878229698545856372898645892704014774154492335831900927017949e-1
-3.375,2.5079146939443777968907456677921295262839777159118087122098455974e-6,9.9999749208530605562220310925433220787047371602228408819128779015e-1
-3.3125,4.9521000370918715931502492558849661931561498278511885118537840809e-6,9.9999504789996290812840684975074411503380684385017214881148814622e-1
