u = -log2(ccdf),v = log2(x),g,gg
7.9244608738888481870e0,7.9541963103868752088e0,9.8367549223260966028e-1,8.2759778424299847654e-3
7.9710156383916984413e0,8.0000000000000000000e0,9.8405693329847093454e-1,8.1111198155588149575e-3
8.0598633798673299443e0,8.0874628412503394083e0,9.8476380435663550956e-1,7.8020845624221416497e-3
8.1435739685199668474e0,8.1699250014423123629e0,9.8540497671585608861e-1,7.5178404968238546304e-3
8.2227081824624261314e0,8.2479275134435854938e0,9.8598947343318432306e-1,7.2554889915424612983e-3
8.2977398024169754590e0,8.3219280948873623479e0,9.8652471506613736585e-1,7.0125580127713721068e-3
8.3690727127600056988e0,8.3923174227787602889e0,9.8701686283838643011e-1,6.7869297630920568169e-3
8.4370539990214119839e0,8.4594316186372972562e0,9.8747107690704256993e-1,6.5767814237257809293e-3
8.5019841159510227545e0,8.5235619560570128723e0,9.8789171331154001859e-1,6.3805367361351843468e-3
8.5641248785222404197e0,8.5849625007211561815e0,9.8828247598012406057e-1,6.1968264143867641276e-3
8.6237058121062583100e0,8.6438561897747246957e0,9.8864653535039433312e-1,6.0244557005133437475e-3
8.6809292500651091095e0,8.7004397181410921604e0,9.8898662188016301047e-1,5.8623776835891522578e-3
8.7359744639227012156e0,8.7548875021634685444e0,9.8930510045672649038e-1,5.7096712711601360379e-3
8.7890010383185634168e0,8.8073549220576041074e0,9.8960403012113145403e-1,5.5655229235922792141e-3
8.8401516505699041924e0,8.8579809951275721207e0,9.8988521239202240656e-1,5.4292114412680479355e-3
8.8895543765587413656e0,8.9068905956085185293e0,9.9015023065829735773e-1,5.3000952376860639082e-3
8.9373246165930832529e0,8.9541963103868752088e0,9.9040048251557776769e-1,5.1776016450047073656e-3
8.9835667139833536735e0,9.0000000000000000000e0,9.9063720648368048386e-1,5.0612178883351558982e-3
9.0718365736052406000e0,9.0874628412503394083e0,9.9107435906987417734e-1,4.8449834899357404478e-3
9.1550247057977085543e0,9.1699250014423123629e0,9.9146917330062171690e-1,4.6482240071137435266e-3
9.2336840541344947944e0,9.2479275134435854938e0,9.9182768596712467831e-1,4.4683431451118229800e-3
9.3082819949322574157e0,9.3219280948873623479e0,9.9215482257048240822e-1,4.3031923381929585981e-3
9.3792171237399041432e0,9.3923174227787602889e0,9.9245464382861926918e-1,4.1509776969871829160e-3
9.4468321181888871904e0,9.4594316186372972562e0,9.9273052901826180874e-1,4.0101892745526095177e-3
