lambda,pdf,error
-11.75,5.9046605655019417682993488677465725063587239859044520944402513206e-20250,2.26785984e-20315
-11.5,1.8135837926240151650696574297646437536713582757577899666307408097e-15770,6.94146859e-15836
-11.25,7.4951396056729417604687426242343969771306575926336176047940860566e-12282,3.14549149e-12347
-11,6.3071445080498524941526220541852234378387616055073456299972014249e-9565,2.62868852e-9630
-10.75,5.3849731112638144050530166567359883977473855158501787800487145726e-7449,2.22432413e-7514
-10.5,4.0566575949976399239576455622853062430584951806520173987973888635e-5801,1.65709440e-5866
-10.25,9.2054809088720061569029089986920284768248360430501148824131866427e-4518,3.70416048e-4583
-10,2.6952640740524361493313566377908703014295472135511999586536021162e-3518,1.27292597e-3583
-9.75,6.3669132976737826265488255623973047587200873569868737733637122457e-2740,2.93473850e-2805
-9.5,9.7651321175574309567241219489390133342145137786659099930802753824e-2134,4.59627173e-2199
-9.25,1.1901631211794696105858785143169930603357229767272902111576903028e-1661,5.78424900e-1727
-9,5.3026077859225505103680231686048278111003759073733927845380571732e-1294,2.39176498e-1359
-8.75,1.0907368145087200535723897123656819006736767908862639506302989156e-1007,4.89531413e-1073
-8.5,1.0155018835912407710620290439960017978940721285661305130952089125e-784,4.44919726e-850
-8.25,4.3961741950504701500051734100118273277572655792813197074681280378e-611,2.06126559e-676
-8,7.2314913059369363867410149968349074042104512186311189844023259754e-476,3.40331691e-541
-7.875,6.2275187031966549406707516250414055343589968238461313633531374776e-420,2.93662119e-485
-7.75,1.4245159995308583128222539505682096543090742236186302526042475581e-370,6.72647510e-436
-7.625,5.1280710108705999242903612659949402233071228821600885212143494942e-327,2.41952816e-392
-7.5,1.3965400726113745093367918755249175957509985612049021318413977771e-288,5.32892863e-354
-7.375,1.1500610977071091267745218604553980474727431866141403129986617655e-254,4.58517790e-320
-7.25,9.7275598669897666657851378611997608208136893490787267592313646806e-225,3.63063296e-290
-7.125,2.4862800976949650568316145720492859970718589134817880402472513750e-198,8.33148103e-264
-7,4.9766770126438423877079414960247478080454361258426910509428047937e-175,1.77194517e-240
-6.875,1.8078205187603883319213707314469659563995567966440631623367682784e-154,8.10784242e-220
-6.75,2.5020395868677504009624576747440974876042275575537354681559914911e-136,9.78695920e-202
-6.625,2.5386643765494399908118434197650835378604828487851984146657273189e-120,1.02476976e-185
-6.5,3.3646333457816195473760066283217183176317760908022768810912661683e-106,1.51677643e-171
-6.375,9.6976191655947879782378573350966717684109180951810514169811732283e-94,3.53127139e-159
-6.25,9.5312302682245152133766056977014687705007755556544107009574269881e-83,3.84802546e-148
-6.125,4.7511116951887410679657891046058816930169344256874313866230669767e-73,1.89773533e-138
-6,1.7051074447851705700165318691420018102583443391159875613568705798e-64,6.79406048e-130
-5.875,6.0018963841802844857950156098083559972714594764381478112299075106e-57,2.28158925e-122
-5.75,2.7220643235841339862781091939808036676063700669232790436253611379e-50,9.53015547e-116
-5.625,2.0237232034828107993604607571725796715190409365781350645545439843e-44,9.14085752e-110
-5.5,3.0502060150089809920671607288315460956499824333653439139115286724e-39,1.04485675e-104
-5.375,1.1242726971838602758912921935103768828273371501369058523493019034e-34,2.85723604e-100
-5.25,1.1957721085544374716830852579142295288184273966295168359927109633e-30,3.04162282e-96
-5.125,4.2470213450075217957093595909902309053215482263143961274926741854e-27,1.23058249e-92
-5,5.7299682705730103032241471627145018198018567317016083001508848260e-24,1.92262519e-89
