u = -log2(cdf),v = pow2(-x),g,gg
1.4216677085187459090e0,7.0710678118654752440e-1,7.6749652248952632195e-1,3.8961773848446746221e-2
1.4418319693287474618e0,7.2259040348852331002e-1,7.6823792497463015834e-1,3.4613215058025135089e-2
1.4624188673241932987e0,7.3841307296974965569e-1,7.6890680742255092788e-1,3.0406224731623076616e-2
1.4834392649770206174e0,7.5458221379671136988e-1,7.6950282307274490967e-1,2.6339512853794046472e-2
1.5049043412822175378e0,7.7110541270397041181e-1,7.7002565283972302516e-1,2.2411713189398041690e-2
1.5268256017249282889e0,7.8799042255394324323e-1,7.7047500574996347376e-1,1.8621385370585999032e-2
1.5492148885745219091e0,8.0524516597462715409e-1,7.7085061935969798457e-1,1.4967017064443220240e-2
1.5720843915164329553e0,8.2287773907698242226e-1,7.7115226015273603648e-1,1.1447026217976122044e-2
1.5954466586329307099e0,8.4089641525371454303e-1,7.7137972391750294632e-1,8.0597633769568184714e-3
1.6193146077443318926e0,8.5930964906123895781e-1,7.7153283610248122821e-1,4.8035140749763481676e-3
1.6437015381225412363e0,8.7812608018664974156e-1,7.7161145214926011379e-1,1.6765012889003517130e-3
1.6686211425891847661e0,8.9735453750155359321e-1,7.7161545780241562679e-1,-1.3231120432287491305e-3
1.6940875200109925394e0,9.1700404320467123174e-1,7.7154476939546315575e-1,-4.1972204459409593254e-3
1.7201151882054912905e0,9.3708381705514995067e-1,7.7139933411214608003e-1,-6.9477732759707857899e-3
1.7467190972704831928e0,9.5760328069857364694e-1,7.7117913022234769715e-1,-9.5767720421283725803e-3
1.7739146433512151609e0,9.7857206208770013451e-1,7.7088416729193948239e-1,-1.2086267679881217141e-2
1.8017176828595840967e0,1.0000000000000000000e0,7.7051448636590658686e-1,-1.4478357785223447910e-2
1.8301445471601776151e0,1.0218971486541166782e0,7.7007016012412144812e-1,-1.6755183812504771593e-2
1.8592120577384174225e0,1.0442737824274138403e0,7.6955129300916843524e-1,-1.8918928240975561475e-2
1.8889375418665540679e0,1.0671404006768236182e0,7.6895802132565656478e-1,-2.0971811714877750301e-2
1.9193388487837576155e0,1.0905077326652576592e0,7.6829051331049348108e-1,-2.2916090161972838108e-2
1.9504343664070593325e0,1.1143867425958925363e0,7.6754896917363206390e-1,-2.4754051895448087642e-2
1.9822430385904251499e0,1.1387886347566916537e0,7.6673362110884116661e-1,-2.6488014704179555735e-2
2.0147843829497828877e0,1.1637248587775775138e0,7.6584473327409406268e-1,-2.8120322936355728113e-2
2.0480785092723824857e0,1.1892071150027210667e0,7.6488260174121211952e-1,-2.9653344581477971081e-2
2.0821461385294422155e0,1.2152473599804688781e0,7.6384755441444697821e-1,-3.1089468355753597236e-2
2.1170086225116245542e0,1.2418578120734840486e0,7.6273995091773201834e-1,-3.2431100795883930181e-2
2.1526879641074935783e0,1.2690509571917332226e0,7.6156018245038304988e-1,-3.3680663366223255090e-2
